image,annotations
new_dataset_assignment_5/new_dataset/id_00000001_02_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'Blouse'}, {'tag': 'Color', 'value': 'White'}, {'tag': 'Pattern', 'value': 'Solid'}, {'tag': 'Season', 'value': 'Any'}, {'tag': 'Material', 'value': 'Not Visible'}, {'tag': 'Length', 'value': 'Regular'}, {'tag': 'Occasion', 'value': 'Casual/Formal'}, {'tag': 'Fit', 'value': 'Regular'}, {'tag': 'Neckline', 'value': 'High Neck'}, {'tag': 'Sleeve Length', 'value': 'Long Sleeve'}, {'tag': 'Closure Type', 'value': 'None/Pullover'}, {'tag': 'Gender', 'value': 'Female'}, {'tag': 'Collar Type', 'value': 'None'}]"
new_dataset_assignment_5/new_dataset/id_00000002_02_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'Dress'}, {'tag': 'Color', 'value': 'Multicolor'}, {'tag': 'Pattern', 'value': 'Floral'}, {'tag': 'Season', 'value': 'Spring/Summer'}, {'tag': 'Material', 'value': 'Unknown'}, {'tag': 'Length', 'value': 'Short'}, {'tag': 'Occasion', 'value': 'Casual'}, {'tag': 'Fit', 'value': 'Regular'}, {'tag': 'Neckline', 'value': 'Round'}, {'tag': 'Sleeve Length', 'value': 'Short'}, {'tag': 'Closure Type', 'value': 'None'}, {'tag': 'Gender', 'value': 'Female'}, {'tag': 'Collar Type', 'value': 'No Collar'}]"
new_dataset_assignment_5/new_dataset/id_00000003_02_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'Tank Top'}, {'tag': 'Color', 'value': 'Black'}, {'tag': 'Pattern', 'value': 'Solid'}, {'tag': 'Season', 'value': 'Summer'}, {'tag': 'Material', 'value': 'Unknown'}, {'tag': 'Length', 'value': 'Waist Length'}, {'tag': 'Occasion', 'value': 'Casual'}, {'tag': 'Fit', 'value': 'Regular Fit'}, {'tag': 'Neckline', 'value': 'Scoop Neck'}, {'tag': 'Sleeve Length', 'value': 'Sleeveless'}, {'tag': 'Closure Type', 'value': 'None'}, {'tag': 'Gender', 'value': 'Female'}, {'tag': 'Collar Type', 'value': 'None'}]"
new_dataset_assignment_5/new_dataset/id_00000004_05_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'Blouse'}, {'tag': 'Color', 'value': 'Beige'}, {'tag': 'Pattern', 'value': 'Embroidered'}, {'tag': 'Season', 'value': 'Spring/Summer'}, {'tag': 'Material', 'value': 'Synthetic'}, {'tag': 'Length', 'value': 'Regular'}, {'tag': 'Occasion', 'value': 'Casual'}, {'tag': 'Fit', 'value': 'Loose'}, {'tag': 'Neckline', 'value': 'Scoop Neck'}, {'tag': 'Sleeve Length', 'value': 'Long Sleeve'}, {'tag': 'Closure Type', 'value': 'None'}, {'tag': 'Gender', 'value': 'Female'}, {'tag': 'Collar Type', 'value': 'None'}]"
new_dataset_assignment_5/new_dataset/id_00000006_01_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'T-shirt'}, {'tag': 'Color', 'value': 'White with black stripes'}, {'tag': 'Pattern', 'value': 'Striped'}, {'tag': 'Season', 'value': 'Spring/Summer'}, {'tag': 'Material', 'value': 'Cotton'}, {'tag': 'Length', 'value': 'Regular'}, {'tag': 'Occasion', 'value': 'Casual'}, {'tag': 'Fit', 'value': 'Regular'}, {'tag': 'Neckline', 'value': 'Crew neck'}, {'tag': 'Sleeve Length', 'value': 'Short sleeve'}, {'tag': 'Closure Type', 'value': 'None'}, {'tag': 'Gender', 'value': 'Male'}, {'tag': 'Collar Type', 'value': 'None'}]"
new_dataset_assignment_5/new_dataset/id_00000007_01_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'Tank Top'}, {'tag': 'Color', 'value': 'Grey'}, {'tag': 'Pattern', 'value': 'Graphic Print'}, {'tag': 'Season', 'value': 'Summer'}, {'tag': 'Material', 'value': 'Cotton Blend'}, {'tag': 'Length', 'value': 'Regular'}, {'tag': 'Occasion', 'value': 'Casual'}, {'tag': 'Fit', 'value': 'Regular Fit'}, {'tag': 'Neckline', 'value': 'Round Neck'}, {'tag': 'Sleeve Length', 'value': 'Sleeveless'}, {'tag': 'Closure Type', 'value': 'Pullover'}, {'tag': 'Gender', 'value': 'Female'}, {'tag': 'Collar Type', 'value': 'None'}]"
new_dataset_assignment_5/new_dataset/id_00000010_01_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'Cardigan'}, {'tag': 'Color', 'value': 'Black'}, {'tag': 'Pattern', 'value': 'Striped'}, {'tag': 'Season', 'value': 'Spring/Fall'}, {'tag': 'Material', 'value': 'Knit'}, {'tag': 'Length', 'value': 'Long'}, {'tag': 'Occasion', 'value': 'Casual'}, {'tag': 'Fit', 'value': 'Regular'}, {'tag': 'Neckline', 'value': 'Open Front'}, {'tag': 'Sleeve Length', 'value': 'Long Sleeve'}, {'tag': 'Closure Type', 'value': 'No Closure'}, {'tag': 'Gender', 'value': 'Female'}, {'tag': 'Collar Type', 'value': 'No Collar'}]"
new_dataset_assignment_5/new_dataset/id_00000011_02_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'Cardigan'}, {'tag': 'Color', 'value': 'Black'}, {'tag': 'Pattern', 'value': 'Solid'}, {'tag': 'Season', 'value': 'Fall/Winter'}, {'tag': 'Material', 'value': 'Knit'}, {'tag': 'Length', 'value': 'Long'}, {'tag': 'Occasion', 'value': 'Casual'}, {'tag': 'Fit', 'value': 'Regular'}, {'tag': 'Neckline', 'value': 'Open Front'}, {'tag': 'Sleeve Length', 'value': 'Long Sleeve'}, {'tag': 'Closure Type', 'value': 'No Closure'}, {'tag': 'Gender', 'value': 'Female'}, {'tag': 'Collar Type', 'value': 'None'}]"
new_dataset_assignment_5/new_dataset/id_00000013_03_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'Coat'}, {'tag': 'Color', 'value': 'Navy Blue'}, {'tag': 'Pattern', 'value': 'Solid'}, {'tag': 'Season', 'value': 'Winter'}, {'tag': 'Material', 'value': 'Wool Blend'}, {'tag': 'Length', 'value': 'Hip Length'}, {'tag': 'Occasion', 'value': 'Casual'}, {'tag': 'Fit', 'value': 'Regular'}, {'tag': 'Neckline', 'value': 'Not Applicable'}, {'tag': 'Sleeve Length', 'value': 'Long Sleeve'}, {'tag': 'Closure Type', 'value': 'Toggle'}, {'tag': 'Gender', 'value': 'Female'}, {'tag': 'Collar Type', 'value': 'Hooded with Faux Fur Trim'}]"
new_dataset_assignment_5/new_dataset/id_00000014_01_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'Blouse'}, {'tag': 'Color', 'value': 'Off-white'}, {'tag': 'Pattern', 'value': 'Animal print'}, {'tag': 'Season', 'value': 'Spring/Summer'}, {'tag': 'Material', 'value': 'Not visible'}, {'tag': 'Length', 'value': 'Regular'}, {'tag': 'Occasion', 'value': 'Casual'}, {'tag': 'Fit', 'value': 'Regular'}, {'tag': 'Neckline', 'value': 'Round'}, {'tag': 'Sleeve Length', 'value': 'Long sleeve'}, {'tag': 'Closure Type', 'value': 'None'}, {'tag': 'Gender', 'value': 'Female'}, {'tag': 'Collar Type', 'value': 'No collar'}]"
new_dataset_assignment_5/new_dataset/id_00000016_01_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'Shirt'}, {'tag': 'Color', 'value': 'Navy Blue, White, Red'}, {'tag': 'Pattern', 'value': 'Printed'}, {'tag': 'Season', 'value': 'Summer'}, {'tag': 'Material', 'value': 'Cotton'}, {'tag': 'Length', 'value': 'Regular'}, {'tag': 'Occasion', 'value': 'Casual'}, {'tag': 'Fit', 'value': 'Slim'}, {'tag': 'Neckline', 'value': 'Collared'}, {'tag': 'Sleeve Length', 'value': 'Short'}, {'tag': 'Closure Type', 'value': 'Button'}, {'tag': 'Gender', 'value': 'Male'}, {'tag': 'Collar Type', 'value': 'Point'}]"
new_dataset_assignment_5/new_dataset/id_00000017_02_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'Sweater'}, {'tag': 'Color', 'value': 'Grey'}, {'tag': 'Pattern', 'value': 'Marled'}, {'tag': 'Season', 'value': 'Fall/Winter'}, {'tag': 'Material', 'value': 'Knit'}, {'tag': 'Length', 'value': 'Standard'}, {'tag': 'Occasion', 'value': 'Casual'}, {'tag': 'Fit', 'value': 'Regular'}, {'tag': 'Neckline', 'value': 'Crew Neck'}, {'tag': 'Sleeve Length', 'value': 'Long Sleeve'}, {'tag': 'Closure Type', 'value': 'None'}, {'tag': 'Gender', 'value': 'Female'}, {'tag': 'Collar Type', 'value': 'None'}]"
new_dataset_assignment_5/new_dataset/id_00000019_01_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'Tank Top'}, {'tag': 'Color', 'value': 'White'}, {'tag': 'Pattern', 'value': 'Text Print'}, {'tag': 'Season', 'value': 'Summer'}, {'tag': 'Material', 'value': 'Cotton Blend'}, {'tag': 'Length', 'value': 'Regular'}, {'tag': 'Occasion', 'value': 'Casual'}, {'tag': 'Fit', 'value': 'Regular Fit'}, {'tag': 'Neckline', 'value': 'Scoop Neck'}, {'tag': 'Sleeve Length', 'value': 'Sleeveless'}, {'tag': 'Closure Type', 'value': 'None'}, {'tag': 'Gender', 'value': 'Female'}, {'tag': 'Collar Type', 'value': 'No Collar'}]"
new_dataset_assignment_5/new_dataset/id_00000020_05_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'T-Shirt'}, {'tag': 'Color', 'value': 'Black/White'}, {'tag': 'Pattern', 'value': 'Striped'}, {'tag': 'Season', 'value': 'Summer'}, {'tag': 'Material', 'value': 'Cotton Blend'}, {'tag': 'Length', 'value': 'Crop'}, {'tag': 'Occasion', 'value': 'Casual'}, {'tag': 'Fit', 'value': 'Regular'}, {'tag': 'Neckline', 'value': 'Round'}, {'tag': 'Sleeve Length', 'value': 'Short Sleeve'}, {'tag': 'Closure Type', 'value': 'Pullover'}, {'tag': 'Gender', 'value': 'Female'}, {'tag': 'Collar Type', 'value': 'None'}]"
new_dataset_assignment_5/new_dataset/id_00000021_04_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'Dress'}, {'tag': 'Color', 'value': 'Beige'}, {'tag': 'Pattern', 'value': 'Lace/Knit'}, {'tag': 'Season', 'value': 'Spring/Summer'}, {'tag': 'Material', 'value': 'Crochet/Knit Fabric'}, {'tag': 'Length', 'value': 'Full Length'}, {'tag': 'Occasion', 'value': 'Casual'}, {'tag': 'Fit', 'value': 'Regular'}, {'tag': 'Neckline', 'value': 'V-Neck'}, {'tag': 'Sleeve Length', 'value': 'Sleeveless'}, {'tag': 'Closure Type', 'value': 'None'}, {'tag': 'Gender', 'value': 'Female'}, {'tag': 'Collar Type', 'value': 'None'}]"
new_dataset_assignment_5/new_dataset/id_00000021_06_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'Dress'}, {'tag': 'Color', 'value': 'Blue'}, {'tag': 'Pattern', 'value': 'Printed'}, {'tag': 'Season', 'value': 'Summer/Spring'}, {'tag': 'Material', 'value': 'Unspecified'}, {'tag': 'Length', 'value': 'Maxi'}, {'tag': 'Occasion', 'value': 'Casual'}, {'tag': 'Fit', 'value': 'Regular'}, {'tag': 'Neckline', 'value': 'V-Neck'}, {'tag': 'Sleeve Length', 'value': 'Sleeveless'}, {'tag': 'Closure Type', 'value': 'None'}, {'tag': 'Gender', 'value': 'Female'}, {'tag': 'Collar Type', 'value': 'No Collar'}]"
new_dataset_assignment_5/new_dataset/id_00000023_01_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'Dress'}, {'tag': 'Color', 'value': 'Beige'}, {'tag': 'Pattern', 'value': 'Solid with Textural Detail'}, {'tag': 'Season', 'value': 'Spring/Summer'}, {'tag': 'Material', 'value': 'Likely Synthetic Blend'}, {'tag': 'Length', 'value': 'Short'}, {'tag': 'Occasion', 'value': 'Formal/Party'}, {'tag': 'Fit', 'value': 'Regular'}, {'tag': 'Neckline', 'value': 'Round'}, {'tag': 'Sleeve Length', 'value': 'Half Sleeves'}, {'tag': 'Closure Type', 'value': 'None/Pullover'}, {'tag': 'Gender', 'value': 'Female'}, {'tag': 'Collar Type', 'value': 'None'}]"
new_dataset_assignment_5/new_dataset/id_00000025_05_1_front.jpg,"[{'tag': 'Clothing Type', 'value': 'Blouse'}, {'tag': 'Color', 'value': 'Green'}, {'tag': 'Pattern', 'value': 'Solid'}, {'tag': 'Season', 'value': 'Spring/Summer'}, {'tag': 'Material', 'value': 'Not Visible'}, {'tag': 'Length', 'value': 'Regular'}, {'tag': 'Occasion', 'value': 'Casual'}, {'tag': 'Fit', 'value': 'Regular'}, {'tag': 'Neckline', 'value': 'V-Neck'}, {'tag': 'Sleeve Length', 'value': 'Sleeveless'}, {'tag': 'Closure Type', 'value': 'Button Front'}, {'tag': 'Gender', 'value': 'Female'}, {'tag': 'Collar Type', 'value': 'No Collar'}]"
